ticker,title,game_date,home_team,away_team,kalshi_team_side,kalshi_prev_price,yes_bid,yes_ask,sb_prob_normed,gap,result,volume,yes_side_won
KXNBAGAME-25DEC25DALGSW-DAL,Dallas vs Golden State Winner?,2025-12-26,Golden State Warriors,Dallas Mavericks,away,0.8,0.0,1.0,0.2584493041749503,-0.5415506958250498,no,679.00,0
KXNBAGAME-25DEC25HOULAL-HOU,Houston vs Los Angeles L Winner?,2025-12-26,Los Angeles Lakers,Houston Rockets,away,0.01,0.0,1.0,0.675,0.665,yes,36196.00,1
KXNBAGAME-25DEC25MINDEN-MIN,Minnesota vs Denver Winner?,2025-12-26,Denver Nuggets,Minnesota Timberwolves,away,0.62,0.0,1.0,0.44871794871794873,-0.17128205128205126,no,802.00,0
KXNBAGAME-25DEC26BOSIND-IND,Boston vs Indiana Winner?,2025-12-27,Indiana Pacers,Boston Celtics,home,0.8,0.0,1.0,0.3771289537712896,-0.42287104622871047,no,1934.00,0
KXNBAGAME-25DEC26LACPOR-POR,Los Angeles C vs Portland Winner?,2025-12-27,Portland Trail Blazers,Los Angeles Clippers,home,0.8,0.0,1.0,0.6194029850746269,-0.18059701492537317,no,745.00,0
KXNBAGAME-25DEC26MILMEM-MIL,Milwaukee vs Memphis Winner?,2025-12-27,Memphis Grizzlies,Milwaukee Bucks,away,0.99,0.0,1.0,0.4524421593830334,-0.5375578406169665,no,100.00,0
KXNBAGAME-25DEC28PHIOKC-PHI,Philadelphia vs Oklahoma City Winner?,2025-12-28,Oklahoma City Thunder,Philadelphia 76ers,away,0.8,0.0,1.0,0.16174402250351616,-0.6382559774964839,no,31827.00,0
KXNBAGAME-25DEC28DETLAC-DET,Detroit vs Los Angeles C Winner?,2025-12-29,Los Angeles Clippers,Detroit Pistons,away,0.69,0.0,1.0,0.4362244897959184,-0.25377551020408157,no,72.00,0
KXNBAGAME-25DEC29DALPOR-DAL,Dallas vs Portland Winner?,2025-12-30,Portland Trail Blazers,Dallas Mavericks,away,0.8,0.0,1.0,0.36097560975609755,-0.4390243902439025,no,4539.00,0
KXNBAGAME-25DEC31MINATL-MIN,Minnesota vs Atlanta Winner?,2025-12-31,Atlanta Hawks,Minnesota Timberwolves,away,0.17,0.0,1.0,0.3195402298850574,0.1495402298850574,no,47000.00,0
KXNBAGAME-25DEC31GSWCHA-GSW,Golden State vs Charlotte Winner?,2025-12-31,Charlotte Hornets,Golden State Warriors,away,0.64,0.0,1.0,0.728395061728395,0.08839506172839495,yes,58200.00,1
KXNBAGAME-25DEC30SACLAC-SAC,Sacramento vs Los Angeles C Winner?,2025-12-31,Los Angeles Lakers,Detroit Pistons,home,0.24,0.0,1.0,0.29515418502202645,0.05515418502202646,no,21170.00,0
KXNBAGAME-25DEC30BOSUTA-UTA,Boston vs Utah Winner?,2025-12-31,Utah Jazz,Boston Celtics,home,0.25,0.0,1.0,0.3150684931506849,0.06506849315068491,no,16676.00,0
KXNBAGAME-25DEC30DETLAL-LAL,Detroit vs Los Angeles L Winner?,2025-12-31,Los Angeles Lakers,Detroit Pistons,home,0.45,0.0,1.0,0.4645669291338583,0.014566929133858264,no,23526.00,0
KXNBAGAME-25DEC31PHXCLE-PHX,Phoenix vs Cleveland Winner?,2025-12-31,Cleveland Cavaliers,Phoenix Suns,away,0.15,0.0,1.0,0.14471968709256847,-0.005280312907431528,no,61821.00,0
KXNBAGAME-25DEC30PHIMEM-PHI,Philadelphia vs Memphis Winner?,2025-12-31,Memphis Grizzlies,Philadelphia 76ers,away,0.83,0.0,1.0,0.4263959390862945,-0.4036040609137055,yes,15953.00,1
KXNBAGAME-25DEC31ORLIND-ORL,Orlando vs Indiana Winner?,2025-12-31,Indiana Pacers,Orlando Magic,away,0.62,0.0,1.0,0.6194029850746269,-0.0005970149253731183,yes,74325.00,1
