ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
XLK,2022-02-11,2022-02-15,171.7098,165.8772,279.2622,-1723.08,-3.59,trailing_stop
ARM,2022-02-15,2022-02-21,78.0565,74.7263,595.7604,-2075.02,-4.46,trailing_stop
XLY,2022-02-14,2022-02-23,174.1355,167.0623,273.0278,-2024.33,-4.25,trailing_stop
MSFT,2022-03-08,2022-03-14,309.3811,311.7307,145.9691,252.31,0.56,trailing_stop
NVDA,2022-03-09,2022-03-24,148.5353,150.209,303.6468,417.52,0.92,trailing_stop
QQQ,2022-03-16,2022-03-31,374.8606,380.9736,122.637,656.98,1.43,trailing_stop
XLK,2022-03-24,2022-04-01,186.4037,192.6368,243.4832,1425.36,3.14,trailing_stop
AAPL,2022-03-31,2022-04-04,162.5389,156.0719,289.6531,-1965.46,-4.17,trailing_stop
MSFT,2022-04-05,2022-04-08,334.5015,320.8883,136.2749,-1944.45,-4.26,trailing_stop
GOOGL,2022-04-04,2022-04-13,90.5487,91.8189,502.9039,547.07,1.2,trailing_stop
SMCI,2022-04-25,2022-05-02,133.5494,156.4499,242.1774,5475.75,16.91,trailing_stop
TSLA,2022-04-25,2022-05-03,122.5054,119.2395,366.2471,-1284.66,-2.86,trailing_stop
AMD,2022-05-02,2022-05-17,110.6582,139.7742,438.6836,12662.86,26.06,signal_exit
META,2022-05-17,2022-05-23,226.5967,235.8679,236.5176,2083.42,3.88,trailing_stop
MRVL,2022-05-11,2022-05-24,54.2848,55.8888,900.7603,1345.63,2.75,trailing_stop
AVGO,2022-05-31,2022-06-06,493.8228,495.4223,110.2657,67.3,0.12,trailing_stop
XLK,2022-05-30,2022-06-23,233.5646,254.1657,233.7399,4701.31,8.6,signal_exit
XLY,2022-06-08,2022-06-23,178.6223,186.0761,307.2456,2178.09,3.96,trailing_stop
QQQ,2022-06-23,2022-07-06,378.5049,380.2172,153.0349,145.93,0.25,trailing_stop
TSLA,2022-06-24,2022-07-11,150.2441,152.692,386.3376,828.68,1.43,trailing_stop
MRNA,2022-07-11,2022-07-13,167.082,153.3951,349.4798,-4895.29,-8.38,trailing_stop
META,2022-07-11,2022-07-21,268.4199,320.0414,217.539,11101.68,18.99,signal_exit
AVGO,2022-07-14,2022-07-29,567.6075,580.919,96.8184,1177.6,2.14,trailing_stop
AMZN,2022-07-21,2022-08-10,86.7566,96.3944,712.8712,6740.0,10.89,trailing_stop
SMCI,2022-08-05,2022-08-10,199.4277,206.3907,285.7637,1873.82,3.28,trailing_stop
MRVL,2022-08-22,2022-08-26,80.0256,76.4788,825.5244,-3057.12,-4.62,trailing_stop
AMZN,2022-08-22,2022-08-30,104.6927,105.1898,631.0188,181.21,0.27,signal_exit
BIIB,2022-09-01,2022-09-12,179.7574,175.2784,361.7058,-1748.51,-2.69,trailing_stop
META,2022-09-12,2022-09-15,359.2352,373.0216,186.0983,2429.34,3.63,trailing_stop
TSLA,2022-08-29,2022-09-20,103.785,122.8056,624.3111,11733.3,18.09,trailing_stop
SOXX,2022-09-20,2022-09-26,502.2413,502.0432,140.6432,-169.1,-0.24,signal_exit
META,2022-10-04,2022-10-13,462.3189,462.6697,158.9712,-91.28,-0.12,trailing_stop
GOOGL,2022-09-22,2022-10-14,105.3239,117.9141,665.5035,8230.26,11.73,signal_exit
GOOGL,2022-10-19,2022-10-21,123.4337,128.1056,599.3467,2649.34,3.58,signal_exit
MSFT,2022-10-18,2022-10-31,429.6952,454.0247,173.2823,4062.73,5.45,trailing_stop
AMD,2022-11-01,2022-11-08,151.411,141.4011,512.6152,-5281.36,-6.8,trailing_stop
AAPL,2022-10-24,2022-11-09,151.3407,152.4693,509.4449,420.16,0.54,signal_exit
ARKK,2022-11-16,2022-11-22,76.0081,73.2516,991.2905,-2880.46,-3.82,trailing_stop
META,2022-11-28,2022-12-02,609.5139,586.3991,121.3506,-2950.12,-3.98,trailing_stop
AAPL,2022-11-30,2022-12-02,170.2048,164.2767,436.6243,-2734.42,-3.68,trailing_stop
BIIB,2022-12-06,2022-12-08,176.9281,180.1536,393.6524,1129.18,1.62,trailing_stop
COIN,2022-12-05,2022-12-09,48.6056,43.5416,1465.6542,-7557.14,-10.6,trailing_stop
AMZN,2022-12-09,2022-12-15,125.2982,119.4547,543.9555,-3311.77,-4.85,trailing_stop
AMD,2022-12-14,2022-12-16,172.036,174.6732,389.9713,893.24,1.33,trailing_stop
NVDA,2022-12-21,2023-01-05,143.7879,200.6874,471.801,26682.72,39.29,signal_exit
ARKK,2022-12-19,2023-01-11,86.2551,101.6931,776.7296,11845.16,17.66,trailing_stop
XLY,2023-01-09,2023-01-19,201.2897,199.7325,433.4338,-848.78,-0.97,trailing_stop
GOOGL,2023-01-11,2023-01-24,161.7939,170.9632,527.9988,4665.68,5.46,trailing_stop
META,2023-01-23,2023-01-25,853.7487,822.1607,102.398,-3406.16,-3.89,trailing_stop
SOXX,2023-01-30,2023-02-09,577.0974,561.3752,148.4477,-2502.93,-2.92,signal_exit
ARM,2023-02-06,2023-02-09,122.4742,112.4468,690.2164,-7083.23,-8.37,trailing_stop
GOOGL,2023-02-10,2023-02-24,181.2895,185.2471,447.1964,1605.87,1.98,trailing_stop
SMCI,2023-02-28,2023-03-03,802.9385,836.5985,99.3646,3181.7,3.98,trailing_stop
AAPL,2023-02-17,2023-03-13,149.7403,150.4877,555.2554,248.25,0.3,signal_exit
