ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
MSTR,2022-04-22,2022-04-29,135.0186,166.6981,234.7571,7366.16,23.22,trailing_stop
SMCI,2022-04-22,2022-05-02,125.3656,156.4499,268.0993,8258.11,24.55,trailing_stop
NVDA,2022-05-05,2022-05-12,197.3569,193.9757,280.9338,-1059.82,-1.91,trailing_stop
SMCI,2022-05-18,2022-05-19,158.7054,137.4675,271.6098,-5848.89,-13.56,trailing_stop
AMD,2022-05-23,2022-05-25,153.0005,146.3652,340.7267,-2362.81,-4.53,trailing_stop
XLK,2022-06-13,2022-06-21,251.1278,253.4542,203.0772,369.97,0.72,signal_exit
TSLA,2022-06-16,2022-06-24,142.32,150.094,358.0939,2679.11,5.25,signal_exit
NVDA,2022-06-21,2022-06-24,236.7883,237.5969,217.4101,72.65,0.14,trailing_stop
SMCI,2022-06-24,2022-07-08,173.6755,169.4146,236.2189,-1087.57,-2.65,trailing_stop
MRNA,2022-07-04,2022-07-13,158.4712,156.0991,341.8797,-918.52,-1.69,trailing_stop
MSTR,2022-07-20,2022-07-22,140.188,122.0088,320.5719,-5911.8,-13.14,trailing_stop
META,2022-07-15,2022-07-26,263.7918,308.5236,195.3559,8626.81,16.72,trailing_stop
ARM,2022-07-25,2022-07-28,81.9642,86.0157,596.8872,2318.0,4.73,trailing_stop
MRNA,2022-07-28,2022-08-02,158.086,155.5415,341.2492,-975.33,-1.81,signal_exit
MRVL,2022-08-02,2022-08-08,68.2103,67.9427,784.0314,-316.57,-0.59,trailing_stop
SMCI,2022-08-05,2022-08-10,199.4277,206.3907,234.6766,1538.83,3.28,trailing_stop
XLK,2022-08-10,2022-08-15,291.5274,293.07,185.4548,177.67,0.33,signal_exit
NVDA,2022-08-15,2022-08-22,259.7971,246.8611,208.4332,-2801.91,-5.17,trailing_stop
AMZN,2022-08-15,2022-08-26,101.2612,108.3514,534.7589,3679.44,6.79,signal_exit
MRVL,2022-08-23,2022-08-26,78.9669,76.4788,680.3462,-1798.53,-3.34,trailing_stop
COIN,2022-08-26,2022-09-02,44.8906,41.9787,920.2822,-2759.67,-6.67,trailing_stop
MRNA,2022-08-31,2022-09-05,172.8507,173.9242,316.8732,230.27,0.42,signal_exit
SOXX,2022-09-05,2022-09-12,467.1018,479.4743,112.3862,1284.12,2.44,trailing_stop
META,2022-09-05,2022-09-15,342.3052,373.0216,153.3596,4600.95,8.76,trailing_stop
SMCI,2022-09-13,2022-09-16,205.0032,236.9894,199.1784,6282.94,15.37,signal_exit
TSLA,2022-09-16,2022-09-21,125.3597,119.8076,465.3058,-2697.51,-4.62,signal_exit
SMCI,2022-09-21,2022-09-29,253.3035,359.8856,190.3266,20168.71,41.79,trailing_stop
ARM,2022-10-12,2022-10-17,94.8948,88.1671,702.9722,-4858.08,-7.28,trailing_stop
TSLA,2022-10-12,2022-10-18,142.8012,142.4198,467.1419,-311.39,-0.47,trailing_stop
META,2022-10-17,2022-10-20,467.9335,465.1027,138.8886,-522.76,-0.8,trailing_stop
SMCI,2022-10-20,2022-10-25,278.8595,261.9382,143.345,-2503.1,-6.26,signal_exit
GOOGL,2022-10-20,2022-10-26,123.6148,124.8269,517.5663,498.72,0.78,trailing_stop
MSTR,2022-10-25,2022-10-31,134.5492,151.4827,382.9166,6374.6,12.36,trailing_stop
META,2022-10-28,2022-11-02,472.4395,478.5296,145.7622,749.09,1.09,signal_exit
SMCI,2022-11-02,2022-11-07,293.3726,250.9067,164.1731,-7061.13,-14.65,trailing_stop
ARKK,2022-11-02,2022-11-09,69.8038,68.6799,951.7201,-1201.46,-1.81,trailing_stop
META,2022-11-07,2022-11-10,467.4407,466.9881,137.4469,-190.64,-0.3,signal_exit
GOOGL,2022-11-10,2022-11-15,130.229,133.5,479.0038,1440.52,2.31,signal_exit
SMCI,2022-11-10,2022-11-18,305.5523,313.6568,152.1808,1139.12,2.45,trailing_stop
ARKK,2022-11-15,2022-11-22,72.3467,73.2516,905.4518,687.52,1.05,trailing_stop
GOOGL,2022-11-18,2022-11-23,139.7532,139.5937,468.9997,-205.82,-0.31,signal_exit
META,2022-11-23,2022-12-02,527.4376,586.3991,121.0535,7002.65,10.96,trailing_stop
SMCI,2022-11-28,2022-12-02,323.8768,310.6567,149.3782,-2069.58,-4.27,trailing_stop
AMD,2022-12-14,2022-12-16,172.036,174.6732,384.8826,881.58,1.33,trailing_stop
