strategy,monthly_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,calmar_ratio,win_rate_pct,profit_factor,n_trades,final_equity
RS_Momentum_Fast,7.0,125.25,3.15,-23.78,5.27,54.34,2.18,173,1168897.54
RS_Momentum_Top2,6.48,112.44,3.19,-15.96,7.04,54.64,2.99,97,978986.7
HiMom_Concentrated,6.45,111.76,3.38,-18.93,5.9,55.0,3.13,160,969552.01
RS_Momentum_Top3,4.11,62.08,2.52,-12.29,5.05,48.63,2.38,146,431546.71
HiMom_Medium,3.25,46.78,1.83,-17.67,2.65,46.56,1.99,189,319598.65
Dual_Momentum_Top3,2.72,37.93,1.98,-8.18,4.63,55.84,3.07,77,264756.01
Hybrid_Top2,2.71,37.84,1.61,-14.31,2.64,49.15,3.67,59,264217.02
Dual_Momentum_Top2,2.23,30.32,1.48,-12.09,2.51,58.82,5.85,17,222956.4
HiMom_Balanced,1.26,16.25,0.68,-16.04,1.01,45.66,1.43,173,157776.35
Hybrid_Top3,0.1,1.24,-0.35,-14.49,0.09,32.69,1.08,52,103793.1
