ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
SMCI,2022-03-04,2022-03-07,143.0127,134.3647,140.5753,-1254.68,-6.23,stop_loss
NVDA,2022-03-02,2022-03-14,124.7914,149.6748,160.1228,3940.45,19.7,take_profit
NVDA,2022-03-17,2022-03-24,159.2166,149.5888,130.0641,-1292.4,-6.23,stop_loss
MRVL,2022-03-18,2022-04-05,55.7422,52.3714,366.855,-1276.23,-6.23,stop_loss
QQQ,2022-03-11,2022-04-11,362.6218,365.6861,57.1391,133.47,0.64,signal_exit
MSFT,2022-02-28,2022-04-13,298.2832,301.1021,66.9834,148.67,0.74,signal_exit
XLY,2022-03-10,2022-04-19,178.508,168.7985,116.1048,-1167.64,-5.63,signal_exit
SMCI,2022-04-20,2022-04-26,117.9636,141.4855,172.8966,4022.01,19.7,take_profit
XLK,2022-03-24,2022-04-29,186.4037,190.0217,104.1678,337.67,1.74,signal_exit
SMCI,2022-04-26,2022-05-03,152.3327,143.1211,142.4591,-1354.36,-6.23,stop_loss
AMD,2022-04-11,2022-05-04,95.157,114.1313,216.2987,4058.85,19.7,take_profit
NVDA,2022-04-25,2022-05-04,154.9692,185.8701,126.2385,3857.85,19.7,take_profit
GOOGL,2022-04-06,2022-05-05,92.5234,90.8363,207.2376,-387.64,-2.02,signal_exit
AMZN,2022-05-05,2022-05-09,88.3992,83.0537,245.5419,-1354.64,-6.23,stop_loss
AVGO,2022-05-02,2022-05-11,481.5702,452.4497,45.5631,-1369.38,-6.23,stop_loss
ARKK,2022-05-06,2022-05-12,78.3459,73.6083,278.7745,-1363.08,-6.23,stop_loss
MSTR,2022-05-12,2022-05-16,210.358,197.6377,97.3536,-1278.09,-6.23,stop_loss
ARM,2022-05-06,2022-05-23,68.2324,64.1064,320.0946,-1363.08,-6.23,stop_loss
NVDA,2022-05-04,2022-06-02,196.6779,235.8954,111.9962,4343.77,19.7,take_profit
MRVL,2022-05-09,2022-06-02,51.6374,51.9702,399.9505,91.69,0.44,signal_exit
NVDA,2022-06-02,2022-06-03,263.8313,247.8774,83.8489,-1380.62,-6.23,stop_loss
AVGO,2022-05-31,2022-06-08,493.8228,463.9613,41.4706,-1278.09,-6.23,stop_loss
META,2022-05-11,2022-06-10,213.9809,222.0515,96.148,734.05,3.56,signal_exit
QQQ,2022-06-22,2022-07-11,365.4162,363.8665,59.4912,-135.58,-0.62,signal_exit
SMCI,2022-06-24,2022-07-12,173.6755,208.3065,123.1823,4218.86,19.7,take_profit
GOOGL,2022-06-22,2022-07-14,92.7329,97.7032,234.4265,1120.51,5.15,signal_exit
SMCI,2022-07-12,2022-07-14,222.0587,208.6308,105.1343,-1457.01,-6.23,stop_loss
XLY,2022-06-08,2022-07-18,178.6223,214.2396,119.6319,4213.97,19.7,take_profit
XLK,2022-05-20,2022-07-22,227.058,272.3334,84.57,3786.7,19.7,take_profit
META,2022-07-11,2022-07-25,268.4199,321.9428,80.4844,4260.25,19.7,take_profit
XLY,2022-07-18,2022-08-01,214.5236,201.5513,109.4911,-1465.9,-6.23,stop_loss
AVGO,2022-07-14,2022-08-08,567.6075,535.6503,40.3642,-1334.46,-5.82,signal_exit
AMZN,2022-07-19,2022-08-08,81.4464,97.6869,289.8128,4654.77,19.7,take_profit
SMCI,2022-08-08,2022-08-10,227.1077,213.3745,108.5245,-1538.19,-6.23,stop_loss
SOXX,2022-07-22,2022-08-18,390.6269,389.5346,63.0839,-118.12,-0.48,signal_exit
ARKK,2022-08-17,2022-08-19,67.3311,63.2596,351.2315,-1475.91,-6.23,stop_loss
MSFT,2022-07-25,2022-08-26,401.0045,385.0076,62.225,-1044.32,-4.18,signal_exit
XLK,2022-08-02,2022-09-01,287.9831,270.5687,82.8533,-1489.11,-6.23,stop_loss
MRVL,2022-08-19,2022-09-01,76.8663,72.2182,314.7737,-1510.03,-6.23,stop_loss
AMZN,2022-08-08,2022-09-12,100.1623,100.6583,246.0682,72.63,0.29,signal_exit
BIIB,2022-09-01,2022-09-12,179.7574,170.099,129.1131,-1292.2,-5.56,signal_exit
META,2022-08-29,2022-09-23,340.6888,408.6221,70.1576,4713.47,19.7,take_profit
TSLA,2022-09-12,2022-09-23,121.1616,113.835,192.7474,-1457.49,-6.23,stop_loss
SMCI,2022-09-23,2022-09-27,316.267,379.3306,77.9565,4862.0,19.7,take_profit
ARM,2022-09-28,2022-10-06,75.3913,90.4244,349.3222,5193.45,19.7,take_profit
GOOGL,2022-09-14,2022-10-10,99.3975,119.2174,234.2499,4591.59,19.7,take_profit
SOXX,2022-09-02,2022-10-13,454.7528,488.4957,48.0656,1576.54,7.21,signal_exit
ARM,2022-10-10,2022-10-17,94.0049,88.3204,300.9383,-1765.55,-6.23,stop_loss
ARKK,2022-10-17,2022-10-19,61.6642,57.9354,454.3569,-1748.56,-6.23,stop_loss
META,2022-09-23,2022-10-20,413.1695,448.66,59.673,2066.4,8.37,signal_exit
QQQ,2022-08-24,2022-10-25,413.687,454.7977,54.3966,2189.04,9.72,signal_exit
MSTR,2022-10-24,2022-10-28,136.5893,163.8253,197.9141,5330.92,19.7,take_profit
MSTR,2022-10-28,2022-10-31,166.6055,156.5309,166.2728,-1728.87,-6.23,stop_loss
MRNA,2022-10-28,2022-11-10,169.4528,159.206,173.1846,-1831.51,-6.23,stop_loss
SMCI,2022-11-14,2022-11-18,336.1738,315.8454,81.8533,-1717.32,-6.23,stop_loss
MSFT,2022-10-13,2022-11-21,416.7892,444.5764,66.2293,1783.28,6.45,signal_exit
AAPL,2022-10-06,2022-11-22,138.8181,166.4984,202.4969,5543.35,19.7,take_profit
AMD,2022-10-20,2022-11-22,140.6954,132.2942,196.6255,-1705.57,-6.16,signal_exit
ARKK,2022-11-01,2022-12-05,67.6852,69.1661,383.7593,515.8,1.98,signal_exit
AAPL,2022-11-22,2022-12-07,166.6924,157.7436,171.2798,-1588.31,-5.56,signal_exit
META,2022-11-23,2022-12-08,527.4376,632.6087,54.3072,5648.54,19.7,take_profit
AMZN,2022-11-29,2022-12-19,110.7932,113.848,260.1863,736.37,2.55,signal_exit
META,2022-12-08,2022-12-21,643.9672,772.3743,46.2861,5877.9,19.7,take_profit
AMD,2022-12-12,2022-12-27,159.8783,158.6648,191.236,-292.99,-0.96,signal_exit
SOXX,2022-11-25,2022-12-28,527.5518,528.6499,54.5414,2.29,0.01,signal_exit
ARKK,2022-12-19,2023-01-06,86.2551,103.4544,352.8157,6001.24,19.7,take_profit
BIIB,2022-12-05,2023-01-10,171.1548,205.2831,154.7728,5223.87,19.7,take_profit
NVDA,2023-01-03,2023-01-10,172.8139,207.273,179.399,6113.74,19.7,take_profit
ARKK,2023-01-06,2023-01-11,105.5902,99.2052,324.5654,-2138.83,-6.23,stop_loss
