ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
NVDA,2022-03-25,2022-03-29,148.3271,138.5931,323.2859,-3239.61,-6.75,trailing_stop
PLTR,2022-03-25,2022-03-29,8.0975,7.8851,483.6178,-110.45,-2.82,signal_exit
MSFT,2022-03-29,2022-03-31,319.3489,319.7034,8.1426,-2.32,-0.09,trailing_stop
MRVL,2022-03-25,2022-04-01,55.8734,54.8824,858.2264,-945.55,-1.97,trailing_stop
QQQ,2022-03-29,2022-04-01,387.3656,377.6058,118.6164,-1248.41,-2.71,trailing_stop
SOXX,2022-04-04,2022-04-05,377.3123,364.2262,120.0397,-1659.87,-3.66,trailing_stop
ARKK,2022-04-08,2022-04-11,73.177,68.8016,608.0671,-2746.89,-6.17,trailing_stop
ARKK,2022-04-14,2022-04-18,74.0808,69.2397,592.0815,-2951.17,-6.72,trailing_stop
NVDA,2022-04-12,2022-04-19,138.0855,135.9704,312.7,-747.08,-1.73,trailing_stop
META,2022-04-18,2022-04-20,191.1623,182.5568,218.2288,-1959.53,-4.69,trailing_stop
MSTR,2022-04-22,2022-04-26,135.0186,141.0257,201.9241,1157.25,4.24,signal_exit
AMD,2022-04-18,2022-04-28,97.1943,104.7848,21.2977,157.36,7.59,signal_exit
MSTR,2022-04-28,2022-04-29,185.2377,166.6981,83.3021,-1573.7,-10.19,trailing_stop
SMCI,2022-04-20,2022-05-02,117.9636,160.8594,214.0613,9122.63,36.09,trailing_stop
NVDA,2022-04-26,2022-05-11,166.4811,196.9407,268.0249,8066.52,18.06,trailing_stop
NVDA,2022-05-18,2022-05-20,212.509,209.6401,236.8783,-779.57,-1.55,trailing_stop
TSLA,2022-05-12,2022-05-23,138.837,145.5516,349.94,2250.17,4.63,trailing_stop
META,2022-05-20,2022-05-23,247.0717,235.8679,200.5789,-2344.12,-4.73,trailing_stop
MRVL,2022-05-20,2022-05-24,57.7505,54.6278,38.9821,-126.11,-5.6,trailing_stop
AMD,2022-05-24,2022-05-25,154.2593,146.3652,311.8469,-2555.5,-5.31,trailing_stop
NVDA,2022-05-24,2022-06-03,192.5426,250.1467,249.8423,14281.35,29.66,trailing_stop
SMCI,2022-06-01,2022-06-07,145.9066,125.0602,209.1163,-4415.98,-14.46,trailing_stop
META,2022-06-07,2022-06-10,238.1868,226.8778,216.6809,-2551.22,-4.94,trailing_stop
PLTR,2022-06-15,2022-06-16,6.3779,5.9906,645.1899,-257.89,-6.26,trailing_stop
